track_ID,name,gps,gps_start,gps_ende
150,Unknown Test Track,,,
211,ika Teststrecke,"50.79101691007796, 6.048780870841683","50.79115036301304, 6.049006938106032","50.790885556264705, 6.048550118925162"
259,ika - ISO,"50.79101691007796, 6.048780870841683","50.79115036301304, 6.049006938106032","50.790885556264705, 6.048550118925162"
