mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__threshold,param_feature_selector__feature_set,param_pca__n_components,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.10888747374216716,0.052692154049166516,0.01446998119354248,0.005074489531027983,0.1,,0.2,basic,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.8}",0.5435737491877842,0.6733254994124559,0.6747711670480548,1.0,0.9743589743589742,1.0,0.8110048983345449,0.1858124130328805,1256,0.66,0.7391304347826086,0.7391304347826086,1.0,0.95,1.0,0.8480434782608696,0.13884112810396673,1210
0.06665583451588948,0.041892602392252946,0.008002003033955893,0.002660481899104716,0.1,,0.2,basic,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.9}",0.5435737491877842,0.7844990548204158,0.796840318579449,1.0,1.0,1.0,0.8541521870979416,0.16753603034810474,1134,0.66,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8817391304347826,0.12923603743205886,1007
0.03994818528493246,0.005425583206938225,0.007880965868631998,0.002428945412666392,0.1,,0.2,basic,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.95}",0.5840000000000001,0.8323881537492123,0.9553495311167945,1.0,1.0,1.0,0.8952896141443345,0.15130422220305773,915,0.68,0.8478260869565217,0.9565217391304348,1.0,1.0,1.0,0.9140579710144928,0.11770801792453181,737
0.036200483640034996,0.004042276437501743,0.008094509442647299,0.002553138537979753,0.1,,0.2,basic,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.99}",0.5435737491877842,0.8590153452685422,0.9319470699432892,1.0,1.0,1.0,0.8890893607332693,0.16280140108642513,947,0.66,0.8695652173913043,0.9347826086956522,1.0,1.0,1.0,0.9107246376811595,0.12182364216341625,799
0.03840609391530355,0.0026471965796310676,0.006850997606913249,0.0009460245068302275,0.1,,0.2,basic,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.999}",0.5435737491877842,0.8590153452685422,0.9076228119706381,1.0,1.0,1.0,0.8850353177378274,0.16198450088542543,959,0.66,0.8695652173913043,0.9130434782608695,1.0,1.0,1.0,0.9071014492753623,0.12137670343927691,843
0.08881441752115886,0.02400939015239681,0.01232457160949707,0.003485173341600857,0.1,,0.2,cleaned,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.8}",0.5435737491877842,0.6338277919863597,0.711918158567775,1.0,1.0,1.0,0.8148866166236531,0.1913967813578343,1254,0.66,0.717391304347826,0.7608695652173914,1.0,1.0,1.0,0.8563768115942029,0.14656359155127852,1153
0.03830679257710775,0.006379931415979012,0.006917794545491536,0.0010029805154546845,0.1,,0.2,cleaned,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.9}",0.5840000000000001,0.6920289855072465,0.796840318579449,1.0,1.0,1.0,0.8454782173477827,0.16628996463932152,1196,0.68,0.7391304347826086,0.8260869565217391,1.0,1.0,1.0,0.8742028985507245,0.1327586860625615,1046
0.03131544589996338,0.0019675719547713293,0.006716092427571614,0.000790506220760148,0.1,,0.2,cleaned,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.95}",0.5840000000000001,0.7096642738472149,0.9319470699432892,1.0,1.0,1.0,0.870935223965084,0.164334890134095,1030,0.68,0.7608695652173914,0.9347826086956522,1.0,1.0,1.0,0.8959420289855072,0.1283668603248425,939
0.033186117808024086,0.0025576708556276275,0.006536642710367839,0.0006663342431607192,0.1,,0.2,cleaned,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.99}",0.5840000000000001,0.7096642738472149,0.9553495311167945,1.0,1.0,1.0,0.8748356341606683,0.16600591726219813,1006,0.68,0.7608695652173914,0.9565217391304348,1.0,1.0,1.0,0.8995652173913044,0.12971176421950945,915
0.031743526458740234,0.0031830872188824315,0.006697654724121094,0.0012824266468365213,0.1,,0.2,cleaned,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.999}",0.5840000000000001,0.7433574879227053,0.9553495311167945,1.0,1.0,1.0,0.8804511698399167,0.16081226457216485,982,0.68,0.782608695652174,0.9565217391304348,1.0,1.0,1.0,0.9031884057971015,0.12603863808481566,888
0.028965155283610027,0.0014831905959524533,0.005608876546223958,0.0002602151266292405,0.1,,0.2,cleaned+speed,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.8}",0.5435737491877842,0.6338277919863597,0.6339544513457558,1.0,1.0,1.0,0.8018926654199833,0.20038182550457467,1257,0.66,0.717391304347826,0.717391304347826,1.0,1.0,1.0,0.8491304347826087,0.15207760927847444,1199
0.03161752223968506,0.002401672847387925,0.006657520929972331,0.0010557364359249368,0.1,,0.2,cleaned+speed,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.9}",0.5840000000000001,0.7247834835097542,0.796840318579449,1.0,1.0,1.0,0.8509373003482006,0.16163531820069008,1156,0.68,0.7608695652173914,0.8260869565217391,1.0,1.0,1.0,0.8778260869565218,0.1292738187988701,1027
0.033892194430033364,0.005325848527600687,0.008586366971333822,0.0039985531545222415,0.1,,0.2,cleaned+speed,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.95}",0.5840000000000001,0.7096642738472149,0.9076228119706381,1.0,1.0,1.0,0.8668811809696422,0.16307496173470556,1055,0.68,0.7608695652173914,0.9130434782608695,1.0,1.0,1.0,0.8923188405797102,0.127523467740713,954
0.037607947985331215,0.004803506209086823,0.007217725118001302,0.0023672797296020215,0.1,,0.2,cleaned+speed,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.99}",0.5840000000000001,0.7433574879227053,0.9319470699432892,1.0,1.0,1.0,0.8765507596443324,0.15922431275211477,997,0.68,0.782608695652174,0.9347826086956522,1.0,1.0,1.0,0.8995652173913044,0.12475937772946356,915
0.03764601548512777,0.0036864834066963896,0.008431514104207357,0.002817275893798557,0.1,,0.2,cleaned+speed,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.999}",0.5840000000000001,0.7433574879227053,0.9076228119706381,1.0,1.0,1.0,0.8724967166488907,0.15806770716040042,1020,0.68,0.782608695652174,0.9130434782608695,1.0,1.0,1.0,0.8959420289855072,0.12399734398304592,939
0.03161402543385824,0.0032289702633005414,0.006417036056518555,0.0014133149846052922,0.1,,0.2,invariant,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.8}",0.5435737491877842,0.6338277919863597,0.577639751552795,1.0,1.0,1.0,0.7925068821211565,0.20915497604167552,1260,0.66,0.717391304347826,0.6739130434782609,1.0,1.0,1.0,0.8418840579710145,0.15905788848170582,1232
0.030287663141886394,0.003981851467986416,0.008859833081563314,0.004135614973779185,0.1,,0.2,invariant,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.9}",0.6213381555153706,0.8323881537492123,0.6747711670480548,1.0,1.0,1.0,0.8547495793854396,0.15846461704070477,1132,0.7,0.8478260869565217,0.7391304347826086,1.0,1.0,1.0,0.881159420289855,0.1268012418134611,1010
0.04245575269063314,0.016782610969198024,0.00829629103342692,0.0027337215308629393,0.1,,0.2,invariant,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.95}",0.5840000000000001,0.8323881537492123,0.7289759725400459,1.0,1.0,1.0,0.8575606877148765,0.1596193432089074,1110,0.68,0.8478260869565217,0.782608695652174,1.0,1.0,1.0,0.8850724637681159,0.12487717132648592,995
