mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__estimator__num_leaves,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
2.532402992248535,0.34168654762870737,0.005125880241394043,0.0011236648557362,,0.01,5,31,0.3,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned_invariant'}",0.5435737491877842,0.932664437012263,0.7642966751918159,1.0,1.0,1.0,0.8734224768986438,0.16945198025407152,2179,0.66,0.9347826086956522,0.8043478260869565,1.0,1.0,1.0,0.8998550724637681,0.12777522074462208,2095
2.4393819173177085,0.26603671185348443,0.005345265070597331,0.001998838029929566,,0.01,5,31,0.3,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.656037296037296,0.9089895611634743,0.7642966751918159,1.0,1.0,1.0,0.8882205887320977,0.13365470332152615,1978,0.72,0.9130434782608695,0.8043478260869565,1.0,1.0,1.0,0.906231884057971,0.10915314350791808,1984
2.557408014933268,0.15482101649664298,0.006226340929667155,0.001008047252367591,,0.01,5,31,0.4,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'basic'}",0.5840000000000001,0.932664437012263,0.7642966751918159,1.0,1.0,1.0,0.8801601853673464,0.15651232557500344,2122,0.68,0.9347826086956522,0.8043478260869565,1.0,1.0,1.0,0.9031884057971015,0.12158547929529798,2020
2.5609668095906577,0.2438675109206842,0.005388180414835612,0.0005682731659417114,,0.01,5,31,0.4,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned'}",0.6213381555153706,0.9556482919254659,0.7642966751918159,1.0,1.0,1.0,0.8902138537721087,0.14639554659769716,1873,0.7,0.9565217391304348,0.8043478260869565,1.0,1.0,1.0,0.910144927536232,0.1167094169581927,1792
2.60329532623291,0.18771598477915777,0.007444461186726888,0.004872507095033864,,0.01,5,31,0.4,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned+speed'}",0.656037296037296,0.9089895611634743,0.7642966751918159,1.0,1.0,1.0,0.8882205887320977,0.13365470332152615,1978,0.72,0.9130434782608695,0.8043478260869565,1.0,1.0,1.0,0.906231884057971,0.10915314350791808,1984
2.5246630112330117,0.2703111040842268,0.00462651252746582,0.00039938184041152404,,0.01,5,31,0.4,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'invariant'}",0.8010958904109589,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9239085258925863,0.1007148226674743,580,0.82,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.933768115942029,0.08644110533936697,517
2.435272773106893,0.17326424681886127,0.00471651554107666,0.0008233803118575841,,0.01,5,31,0.4,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned_invariant'}",0.6213381555153706,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.8939489034099882,0.14829096665570943,1783,0.7,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.913768115942029,0.1184178589992772,1669
2.460300882657369,0.30208282651441654,0.00451815128326416,0.0004963314953991999,,0.01,5,31,0.4,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.656037296037296,0.932664437012263,0.7642966751918159,1.0,1.0,1.0,0.8921664013735624,0.13455603983066983,1843,0.72,0.9347826086956522,0.8043478260869565,1.0,1.0,1.0,0.9098550724637681,0.10967864690568327,1885
2.545590321222941,0.24285776659821845,0.005250771840413411,0.0004918278394318387,,0.01,5,31,0.5,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'basic'}",0.656037296037296,0.9556482919254659,0.7642966751918159,1.0,1.0,1.0,0.8959970438590963,0.13597412973050874,1753,0.72,0.9565217391304348,0.8043478260869565,1.0,1.0,1.0,0.9134782608695652,0.11079565595591713,1723
2.6618003845214844,0.2765478915367958,0.005132834116617839,0.0005102833376800632,,0.01,5,31,0.5,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned'}",0.6213381555153706,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.8939489034099882,0.14829096665570943,1783,0.7,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.913768115942029,0.1184178589992772,1669
