mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.7111106514930725,0.01436966197208956,0.051739275455474854,0.005518262733024626,,,1,0.2,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.6996147036552429,0.04098547847019589,0.0619625449180603,0.01072393675623791,,,1,0.2,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.6353447437286377,0.03678386494903331,0.052875399589538574,0.007702787925861847,,,1,0.2,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.5684072375297546,0.03625392983762485,0.04362201690673828,0.008848898106949204,,,1,0.2,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.7456955313682556,0.0741482245019968,0.04280197620391846,0.004226971144019715,,,1,0.2,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.7495836615562439,0.06120575460918274,0.047710299491882324,0.009403152637344042,,,1,0.2,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.7353827953338623,0.05963713780485315,0.04382443428039551,0.004522263748824799,,,1,0.3,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.6308762560607124,0.5333333333333333,0.6163042090631581,0.14986587059400636,435,0.6,0.898876404494382,0.7301587301587301,0.6666666666666666,0.7239254503299447,0.11099862126007316,173
0.6148409247398376,0.04127539839170492,0.042015790939331055,0.006288529264952166,,,1,0.3,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.6058347821235657,0.03452933119789296,0.05267024040222168,0.00814168291173003,,,1,0.3,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.5294081568717957,0.027731555290098166,0.04693824052810669,0.004929299257612191,,,1,0.3,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'invariant'}",0.45,0.8510072468585864,0.6308762560607124,0.5333333333333333,0.6163042090631581,0.14986587059400636,435,0.6,0.898876404494382,0.7301587301587301,0.6666666666666666,0.7239254503299447,0.11099862126007316,173
