param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.45,0.8510072468585864,0.5952380952380952,0.43333333333333335,0.5823946688575037,0.16738077902772974,320,0.6,0.898876404494382,0.7142857142857143,0.48148148148148145,0.6736609000653945,0.1538922156018082,242,LogisticRegression_PCA
basic,0.5642512077294686,0.8575738660008323,0.7073282210146767,0.4961240310077519,0.6563193314381823,0.138964355304782,218,0.56,0.8651685393258427,0.7301587301587301,0.5925925925925926,0.6869799655192914,0.12108722203672542,209,LogisticRegression_PCA
basic,0.6070175438596492,0.8500901093216964,0.6957613814756672,0.4961240310077519,0.6622482664161912,0.12947526900076559,209,0.68,0.8539325842696629,0.6984126984126984,0.5925925925925926,0.7062344688187385,0.09417886810006722,175,LogisticRegression_PCA
basic,0.7809523809523808,0.8280558392917944,0.7222454964390448,0.4961240310077519,0.7068444369227429,0.1273032536266997,154,0.8,0.8539325842696629,0.7301587301587301,0.5925925925925926,0.7441709767552465,0.09789897844290141,120,LogisticRegression_PCA
basic,0.6711018711018711,0.8475511881924599,0.7489691971865146,0.4961240310077519,0.6909365718721494,0.12868689237712264,169,0.72,0.8651685393258427,0.7619047619047619,0.5925925925925926,0.7349164734557992,0.09768899198622684,135,LogisticRegression_PCA
cleaned,0.45,0.8510072468585864,0.5952380952380952,0.4552845528455285,0.5878824737355526,0.16269798445780537,295,0.6,0.898876404494382,0.7142857142857143,0.5185185185185185,0.6829201593246538,0.14276252150687044,212,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8396689766534347,0.7285714285714285,0.4961240310077519,0.573233966201011,0.23444378268640223,368,0.4,0.8764044943820225,0.746031746031746,0.5925925925925926,0.6537572082515903,0.17763743643454058,292,LogisticRegression_PCA
cleaned,0.72,0.778892455858748,0.6854879773691654,0.4961240310077519,0.6701261160589164,0.10586575621735425,198,0.72,0.7528089887640449,0.7301587301587301,0.5925925925925926,0.6988900778788419,0.06250952278770966,181,LogisticRegression_PCA
cleaned,0.8807881773399014,0.8280558392917944,0.7489691971865146,0.4961240310077519,0.7384843112064906,0.14758208496636485,105,0.88,0.8539325842696629,0.7619047619047619,0.5925925925925926,0.7721074846917544,0.11254536176373128,90,LogisticRegression_PCA
cleaned,0.92,0.8270270492173422,0.7625000000000001,0.5634920634920635,0.7682547781773514,0.13080680313573348,81,0.92,0.8314606741573034,0.7777777777777778,0.6296296296296297,0.7897170203911777,0.1054593589973422,71,LogisticRegression_PCA
cleaned+speed,0.45,0.8510072468585864,0.5952380952380952,0.4552845528455285,0.5878824737355526,0.16269798445780537,295,0.6,0.898876404494382,0.7142857142857143,0.5185185185185185,0.6829201593246538,0.14276252150687044,212,LogisticRegression_PCA
cleaned+speed,0.22857142857142854,0.8396689766534347,0.7285714285714285,0.4961240310077519,0.573233966201011,0.23444378268640223,368,0.4,0.8764044943820225,0.746031746031746,0.5925925925925926,0.6537572082515903,0.17763743643454058,292,LogisticRegression_PCA
cleaned+speed,0.72,0.778892455858748,0.6854879773691654,0.4961240310077519,0.6701261160589164,0.10586575621735425,198,0.72,0.7528089887640449,0.7301587301587301,0.5925925925925926,0.6988900778788419,0.06250952278770966,181,LogisticRegression_PCA
