mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__balance_probabilities,param_clf__n_estimators,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.27855604887008667,0.007681976466467807,0.4894174337387085,0.09703185257969198,True,2,basic,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'basic'}",0.6070175438596492,0.9890243947796139,0.6605331787887568,0.8560606060606061,0.7781589308721565,0.15301806001892726,27,0.68,0.9887640449438202,0.6507936507936508,0.8518518518518519,0.7928523868973307,0.13672843555314687,35
0.30607956647872925,0.013115628197373073,0.48996806144714355,0.09038558409830474,True,2,cleaned,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned'}",0.7809523809523808,0.9890243947796139,0.6605331787887568,0.8196248196248197,0.8125336935363928,0.11758059733923074,7,0.8,0.9887640449438202,0.6507936507936508,0.8148148148148148,0.8135931276380715,0.11976517186675895,18
0.3115217685699463,0.009652546863394134,0.4431036114692688,0.00112166960980815,True,2,cleaned+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned+speed'}",0.5342657342657343,1.0,0.7731092436974789,0.8560606060606061,0.7908588960059548,0.1689277694628784,18,0.64,1.0,0.7619047619047619,0.8518518518518519,0.8134391534391534,0.13135583192739755,19
0.2605518698692322,0.007174034377279553,0.4048193693161011,0.0028584669760890057,True,2,invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.7420152863419858,0.8560606060606061,0.7620189731006479,0.20201162401738615,33,0.6,1.0,0.7301587301587301,0.8518518518518519,0.7955026455026455,0.14788975008736066,32
0.256023645401001,0.011522348626556976,0.46064871549606323,0.08016264101874818,True,2,cleaned_invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned_invariant'}",0.5342657342657343,0.9890243947796139,0.7420152863419858,0.8917748917748917,0.7892700767905564,0.17151476217595776,19,0.64,0.9887640449438202,0.7301587301587301,0.8888888888888888,0.8119529159978598,0.13549853633996134,20
0.254669725894928,0.010250479971530065,0.4052797555923462,0.008163246573363422,True,2,cleaned_invariant+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.7285714285714286,1.0,0.7884210526315789,0.8549019607843137,0.8429736104968303,0.10107350461411285,1,0.76,1.0,0.7777777777777778,0.8518518518518519,0.8474074074074074,0.09459465179463449,1
0.3544654846191406,0.012500830361682752,0.7442178726196289,0.04158926746587651,True,4,basic,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9890243947796139,0.7420152863419858,0.8917748917748917,0.7892700767905564,0.17151476217595776,19,0.64,0.9887640449438202,0.7301587301587301,0.8888888888888888,0.8119529159978598,0.13549853633996134,20
0.3938077688217163,0.09075621155099384,0.7507430911064148,0.02617924020650528,True,4,cleaned,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.9890243947796139,0.7576477576477576,0.8917748917748917,0.7931781946169993,0.17056898669229897,15,0.64,0.9887640449438202,0.746031746031746,0.8888888888888888,0.8159211699661137,0.13325889937962512,16
0.35431528091430664,0.024270931499748922,0.7582877278327942,0.030227538410657458,True,4,cleaned+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned+speed'}",0.5342657342657343,0.9890243947796139,0.7261904761904762,0.8549019607843137,0.7760956415050345,0.16772098816923325,30,0.64,0.9887640449438202,0.7142857142857143,0.8518518518518519,0.7987254027703465,0.13347370488895724,28
0.3742619752883911,0.022164419568013828,0.7896671295166016,0.019145821344768776,True,4,invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'invariant'}",0.6070175438596492,1.0,0.625974025974026,0.7823529411764705,0.7538361277525364,0.15757083668564112,40,0.68,1.0,0.6190476190476191,0.7777777777777778,0.7692063492063492,0.14477965638861712,46
