mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
3.349067449569702,0.8786781279173475,2.0875571966171265,0.21562376944923584,RandomForestClassifier(random_state=42),0.2,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.595535397529602,0.3608163154512104,1.8507710695266724,0.08411363909081392,RandomForestClassifier(random_state=42),0.2,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.9539822340011597,0.29102385875154785,2.1388059854507446,0.17771228064360084,RandomForestClassifier(random_state=42),0.2,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.6304134130477905,0.30420792831673305,2.0177953243255615,0.2250704243272269,RandomForestClassifier(random_state=42),0.2,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.675121784210205,0.2859751304869743,1.9941786527633667,0.06604018275941326,RandomForestClassifier(random_state=42),0.2,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
2.677361488342285,0.2697431056085751,1.9429407119750977,0.05824971970768108,RandomForestClassifier(random_state=42),0.2,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.12590134143829346,0.0544604283715511,0.011744558811187744,0.005308426864935599,RandomForestClassifier(random_state=42),0.3,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.20222949981689453,0.13566411399444528,0.012336432933807373,0.004116543552588223,RandomForestClassifier(random_state=42),0.3,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.07380002737045288,0.004946109753509122,0.0073209404945373535,0.00014187942637096108,RandomForestClassifier(random_state=42),0.3,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.08569073677062988,0.01061300361396217,0.006962716579437256,0.0006170410868625797,RandomForestClassifier(random_state=42),0.3,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.933867630496844,0.5952380952380952,0.5333333333333333,0.6281097647670681,0.18389812354530932,24,0.6,0.9438202247191011,0.7142857142857143,0.6666666666666666,0.7311931514178704,0.12929756759537703,21
0.0803687572479248,0.004787618533136898,0.007055521011352539,0.0006368548748443935,RandomForestClassifier(random_state=42),0.3,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8762974852862493,0.5952380952380952,0.5333333333333333,0.6137172284644195,0.16012086929092872,25,0.6,0.9101123595505618,0.7142857142857143,0.6666666666666666,0.7227661851257356,0.11553051505874072,23
0.0896797776222229,0.019179026392124487,0.006780803203582764,0.0005355163744415503,RandomForestClassifier(random_state=42),0.3,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.06915050745010376,0.001489316099699914,0.007017254829406738,0.00014149740947751036,RandomForestClassifier(random_state=42),0.4,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.8762974852862493,0.5952380952380952,0.6793516560958421,0.6712882427214802,0.1290858250622195,22,0.64,0.9101123595505618,0.7142857142857143,0.7407407407407407,0.7512847036442543,0.09885672702596665,18
0.07274329662322998,0.004368650830923484,0.0073400139808654785,0.00022951106506563347,RandomForestClassifier(random_state=42),0.4,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.9775280898876404,0.5952380952380952,0.6121212121212122,0.6797882828781706,0.17432252545747953,21,0.64,0.9775280898876404,0.7142857142857143,0.7037037037037037,0.7588793769692647,0.12939524295864302,17
