mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__threshold,param_feature_selector__feature_set,param_pca__n_components,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.0648045539855957,0.00434773403671954,0.011230647563934326,0.002181188599490984,0.1,,0.2,basic,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.8}",0.45,0.9142069345833046,0.7413226160029229,0.5151515151515151,0.6551702664344357,0.18454153443157706,1196,0.6,0.9213483146067416,0.746031746031746,0.6296296296296297,0.7242524225670294,0.12620743544514357,1058
0.060469746589660645,0.011645375347730684,0.011167168617248535,0.004825204290449654,0.1,,0.2,basic,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.9}",0.45,0.9101123595505618,0.7598116169544741,0.5151515151515151,0.6587688729141378,0.18546803777626464,1176,0.6,0.9101123595505618,0.7619047619047619,0.6296296296296297,0.7254116877712383,0.12282953299891002,1052
0.038602590560913086,0.005593760075441602,0.008813440799713135,0.0018308455189350941,0.1,,0.2,basic,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.95}",0.45,0.9387192389880746,0.7824399708949794,0.587737843551797,0.6897242633587128,0.18605352225940722,1056,0.6,0.9438202247191011,0.7936507936507936,0.6666666666666666,0.7510344212591403,0.13125531954132946,891
0.03383666276931763,0.008005748761302722,0.008210062980651855,0.0016412097928865455,0.1,,0.2,basic,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.99}",0.45,0.9654054098434683,0.8042328042328042,0.587737843551797,0.7018440144070174,0.19773321627023185,1015,0.6,0.9662921348314607,0.8253968253968254,0.6666666666666666,0.7645889067237381,0.1423552497422723,753
0.03753310441970825,0.0029009463086575008,0.008670687675476074,0.0013058831831590787,0.1,,0.2,basic,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.999}",0.45,0.9550561797752809,0.8250728862973762,0.587737843551797,0.7044667274061136,0.19730678326139445,1009,0.6,0.9550561797752809,0.8412698412698413,0.6666666666666666,0.7657481719279472,0.14038397839284408,739
0.03405940532684326,0.005666728659043385,0.006982922554016113,0.0008419107525609566,0.1,,0.2,cleaned,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.8}",0.4307692307692308,0.9387192389880746,0.7413226160029229,0.5151515151515151,0.6564906502279358,0.19860535556562386,1188,0.56,0.9438202247191011,0.746031746031746,0.6296296296296297,0.7198704000951193,0.14537871358206705,1076
0.03921622037887573,0.004620585108001964,0.0081900954246521,0.0013102725644045473,0.1,,0.2,cleaned,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.9}",0.8294117647058823,0.9012195530165249,0.733044733044733,0.587737843551797,0.7628534735797343,0.11739806530423079,573,0.84,0.898876404494382,0.7619047619047619,0.6666666666666666,0.7918619582664526,0.08709284904057778,233
0.03310215473175049,0.004159135073265122,0.009134471416473389,0.0007071645447762956,0.1,,0.2,cleaned,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.95}",0.6711018711018711,0.9387192389880746,0.7900874635568513,0.587737843551797,0.7469116042996485,0.132039506687865,775,0.72,0.9438202247191011,0.8095238095238095,0.6666666666666666,0.7850026752273943,0.10494410269583553,412
0.03741908073425293,0.002971323464144658,0.007748901844024658,0.001774280577299694,0.1,,0.2,cleaned,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.99}",0.45,0.9387192389880746,0.7964922206506364,0.587737843551797,0.693237325797627,0.18789457178832206,1048,0.6,0.9438202247191011,0.8253968253968254,0.6666666666666666,0.7589709291956482,0.1345116119076652,825
0.03723442554473877,0.004521832096330374,0.011530399322509766,0.0021271903707411064,0.1,,0.2,cleaned,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.999}",0.45,0.9423423497391142,0.8398268398268398,0.587737843551797,0.7049767582794377,0.1957581919687838,1008,0.6,0.9438202247191011,0.8571428571428571,0.6666666666666666,0.7669074371321561,0.13905652633895932,714
