mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__estimator__num_leaves,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
2.7502328157424927,0.3547493830193912,0.005910754203796387,0.0008074618590508967,,0.01,5,31,0.2,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic'}",0.45,0.9231707634572971,0.8642857142857143,0.6121212121212122,0.7123944224660559,0.19131334252114834,484,0.6,0.9213483146067416,0.873015873015873,0.7037037037037037,0.7745169728315796,0.12916285181495213,322
2.8791773319244385,0.5778338223125801,0.005919456481933594,0.0006789733757408448,,0.01,5,31,0.2,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned'}",0.45,0.9325842696629213,0.8398268398268398,0.6121212121212122,0.7086330804027434,0.18945418224512706,607,0.6,0.9325842696629213,0.8571428571428571,0.7037037037037037,0.7733577076273705,0.1296896530119198,349
2.46486097574234,0.39844324511150686,0.009080052375793457,0.006279113886872697,,0.01,5,31,0.2,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9423423497391142,0.8600583090379009,0.6121212121212122,0.7161304677245569,0.19591477112008457,379,0.6,0.9438202247191011,0.873015873015873,0.7037037037037037,0.7801349503596694,0.13574799320989586,190
2.474489986896515,0.40476807498295864,0.0061730146408081055,0.0025573856307012956,,0.01,5,31,0.2,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant'}",0.45,0.9231707634572971,0.8642857142857143,0.6121212121212122,0.7123944224660559,0.19131334252114834,484,0.6,0.9213483146067416,0.873015873015873,0.7037037037037037,0.7745169728315796,0.12916285181495213,322
2.446276843547821,0.3980311389678539,0.005987584590911865,0.002231635658435579,,0.01,5,31,0.2,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.9325842696629213,0.8398268398268398,0.6121212121212122,0.7086330804027434,0.18945418224512706,607,0.6,0.9325842696629213,0.8571428571428571,0.7037037037037037,0.7733577076273705,0.1296896530119198,349
2.545753300189972,0.5220971644033772,0.004939913749694824,0.0005078395626845572,,0.01,5,31,0.2,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.9423423497391142,0.8398268398268398,0.6121212121212122,0.7110726004217915,0.19236269847067428,544,0.6,0.9438202247191011,0.8571428571428571,0.7037037037037037,0.7761666963914154,0.1331826137278154,247
2.687969207763672,0.4135940758974948,0.006497025489807129,0.0015913500784892481,,0.01,5,31,0.3,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic'}",0.45,0.9355283743421988,0.826775411045074,0.6121212121212122,0.7061062493771213,0.18816160354808642,715,0.6,0.9325842696629213,0.8253968253968254,0.7037037037037037,0.7654211996908625,0.1252136077463172,538
2.6122469305992126,0.41747564775102064,0.006068050861358643,0.0008485926045797164,,0.01,5,31,0.3,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned'}",0.45,0.9140378324562651,0.8982142857142857,0.6121212121212122,0.7185933325729408,0.19617653406955543,295,0.6,0.9101123595505618,0.9047619047619048,0.7037037037037037,0.7796444920040425,0.13296181620339798,196
2.526441991329193,0.4107757644672243,0.007214546203613281,0.0017135328968183676,,0.01,5,31,0.3,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.947296316365235,0.8982142857142857,0.6121212121212122,0.7269079535501832,0.20479923135295738,175,0.6,0.9438202247191011,0.9047619047619048,0.7037037037037037,0.7880714582961774,0.1417419574255096,49
2.5782835483551025,0.4884539424416362,0.0062752366065979,0.0016101778066659185,,0.01,5,31,0.3,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'invariant'}",0.45,0.9355283743421988,0.8291019325502084,0.6121212121212122,0.7066878797534049,0.18853692909158304,685,0.6,0.9325842696629213,0.8253968253968254,0.7037037037037037,0.7654211996908625,0.1252136077463172,538
