mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,param_pca__n_components,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.01510465145111084,0.0011308418716946388,0.004494369029998779,0.00026461193891338215,1.0,balanced,0.6,1,cleaned,0.9,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.9}",0.7809523809523808,0.9585657787904978,0.8634920634920634,0.820009350163628,0.8557548933496425,0.06614964415163385,41,0.8,0.9550561797752809,0.8571428571428571,0.8148148148148148,0.8567534629332383,0.060504920310857135,183
0.01580744981765747,0.0021151534484025003,0.004463493824005127,7.69998584238265e-05,1.0,balanced,0.6,1,cleaned,0.95,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.95}",0.7285714285714286,0.968377789819141,0.8634920634920634,0.820009350163628,0.8451126580115653,0.08623243225388355,103,0.76,0.9662921348314607,0.8571428571428571,0.8148148148148148,0.8495624516972832,0.07568373751055908,273
0.016110718250274658,0.0022598759879890002,0.0045580267906188965,0.000275490392023932,1.0,balanced,0.6,1,cleaned,0.99,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.99}",0.7809523809523808,0.968377789819141,0.8634920634920634,0.820009350163628,0.8582078961068034,0.06998726927000959,21,0.8,0.9662921348314607,0.8571428571428571,0.8148148148148148,0.8595624516972832,0.06509054531667056,156
0.01528865098953247,0.0008676122094693814,0.004440367221832275,0.00016368354678128155,1.0,balanced,0.6,1,cleaned,0.999,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.999}",0.7809523809523808,0.968377789819141,0.8634920634920634,0.820009350163628,0.8582078961068034,0.06998726927000959,21,0.8,0.9662921348314607,0.8571428571428571,0.8148148148148148,0.8595624516972832,0.06509054531667056,156
0.014793097972869873,0.001051435359371414,0.004433870315551758,0.00013934163715635927,1.0,balanced,0.6,1,cleaned+speed,0.8,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.8}",0.5342657342657343,1.0,0.6081787065393622,0.7111111111111111,0.713388887979052,0.17699251698597443,1202,0.64,1.0,0.6031746031746031,0.7037037037037037,0.7367195767195768,0.1562014449626354,1213
0.015196800231933594,0.0014315123136496636,0.004679262638092041,0.00015971049830452508,1.0,balanced,0.6,1,cleaned+speed,0.9,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.9}",0.5342657342657343,1.0,0.6434172960861552,0.748013090229079,0.7314240301452422,0.17249987490701796,1117,0.64,1.0,0.6349206349206349,0.7407407407407407,0.7539153439153439,0.14821241047665198,1140
0.015133321285247803,0.0013871916341846422,0.004636526107788086,0.00014638308581449539,1.0,balanced,0.6,1,cleaned+speed,0.95,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.95}",0.5342657342657343,1.0,0.6081787065393622,0.748013090229079,0.722614382758544,0.17759406829509167,1154,0.64,1.0,0.6031746031746031,0.7407407407407407,0.745978835978836,0.15506349666719196,1190
0.015271484851837158,0.0014358907961972572,0.004539608955383301,3.516593220962006e-05,1.0,balanced,0.6,1,cleaned+speed,0.99,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.99}",0.5342657342657343,1.0,0.5714285714285714,0.7111111111111111,0.7042013542013543,0.18306509113222316,1235,0.64,1.0,0.5714285714285714,0.7037037037037037,0.7287830687830689,0.16342465348880147,1232
0.01549452543258667,0.0011182671559977985,0.004602015018463135,0.00015814947696860625,1.0,balanced,0.6,1,cleaned+speed,0.999,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.999}",0.5342657342657343,1.0,0.5714285714285714,0.7111111111111111,0.7042013542013543,0.18306509113222316,1235,0.64,1.0,0.5714285714285714,0.7037037037037037,0.7287830687830689,0.16342465348880147,1232
0.01385045051574707,0.0011869767912130124,0.003619253635406494,0.00010784578883545492,1.0,balanced,0.6,1,invariant,0.8,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.8}",0.6711018711018711,1.0,0.5714285714285714,0.7777777777777778,0.7550770550770551,0.15912351242895909,997,0.72,1.0,0.5714285714285714,0.7777777777777778,0.7673015873015873,0.15399836066310466,1079
0.01398390531539917,0.0012201641354896,0.0036128759384155273,0.00013227897011560538,1.0,balanced,0.6,1,invariant,0.9,"{'clf__estimator__C': 1, 'clf__estimator__class_weight': 'balanced', 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.9}",0.6711018711018711,1.0,0.5900057603686636,0.7777777777777778,0.7597213523120782,0.15388035744857487,891,0.72,1.0,0.5873015873015873,0.7777777777777778,0.7712698412698412,0.14902412039857646,987
