mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__degree,param_clf__gamma,param_clf__kernel,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.013942301273345947,0.0013234222577461275,0.006850123405456543,0.0008413113413087253,0.1,2,scale,rbf,basic,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.013010382652282715,0.001134330913077205,0.006413578987121582,0.0006297629999743827,0.1,2,scale,rbf,cleaned,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.013851761817932129,0.0010472945882153792,0.006933271884918213,0.0010069585384866017,0.1,2,scale,rbf,cleaned+speed,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.011113405227661133,0.0010989372481265444,0.005193471908569336,0.0005425373632267201,0.1,2,scale,rbf,invariant,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.0112379789352417,0.00048023818501688643,0.005849957466125488,0.0006674495759283587,0.1,2,scale,rbf,cleaned_invariant,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.01242518424987793,0.0017083354775343956,0.005642533302307129,0.00041117793194924524,0.1,2,scale,rbf,cleaned_invariant+speed,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.013778746128082275,0.00039234297765443517,0.0065155029296875,0.0009607573571626573,0.1,2,scale,poly,basic,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.013132274150848389,0.0012733196321925682,0.005999088287353516,0.00036800921354800115,0.1,2,scale,poly,cleaned,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.01357203722000122,0.00116932360370508,0.005971014499664307,0.00030926195476592736,0.1,2,scale,poly,cleaned+speed,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
0.010684072971343994,0.0008442618751696315,0.005008220672607422,0.0003024127516336277,0.1,2,scale,poly,invariant,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,113,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,95
