mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__gamma,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__estimator__min_child_weight,param_clf__estimator__subsample,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
1.8884323438008626,0.20810866475631254,0.01804812749226888,0.0043671239009654824,0.0,0.01,3,1,0.8,0.3,cleaned_invariant,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned_invariant'}",0.5840000000000001,0.7748228501443443,0.7289759725400459,1.0,1.0,1.0,0.8479664704473984,0.16254722781825573,2497,0.68,0.8043478260869565,0.782608695652174,1.0,1.0,1.0,0.8778260869565218,0.12804944500258264,2435
1.9789704481760662,0.23609368425756547,0.016892512639363606,0.004421030797689263,0.0,0.01,3,1,0.8,0.3,cleaned_invariant+speed,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.6213381555153706,0.7748228501443443,0.7289759725400459,1.0,1.0,1.0,0.8541894963666268,0.1527412555747597,2398,0.7,0.8043478260869565,0.782608695652174,1.0,1.0,1.0,0.881159420289855,0.12301778465455655,2341
2.4756821393966675,0.455191544843613,0.03484320640563965,0.021963906865853068,0.0,0.01,3,1,0.8,0.4,basic,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'basic'}",0.5435737491877842,0.8590153452685422,0.7642966751918159,1.0,1.0,1.0,0.8611476282746904,0.16737072913317066,2213,0.66,0.8695652173913043,0.8043478260869565,1.0,1.0,1.0,0.8889855072463768,0.1271139253209576,1904
2.5521493355433145,0.33448252589208044,0.02339319388071696,0.007431027535459119,0.0,0.01,3,1,0.8,0.4,cleaned,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned'}",0.5840000000000001,0.7748228501443443,0.7642966751918159,1.0,1.0,1.0,0.8538532542226934,0.15872595793535083,2410,0.68,0.8043478260869565,0.8043478260869565,1.0,1.0,1.0,0.881449275362319,0.1255878845278502,2303
2.528289238611857,0.22045037928550842,0.03535528977711996,0.025227221047030002,0.0,0.01,3,1,0.8,0.4,cleaned+speed,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned+speed'}",0.5840000000000001,0.8323881537492123,0.7642966751918159,1.0,1.0,1.0,0.8634474714901713,0.15536313916899372,2154,0.68,0.8478260869565217,0.8043478260869565,1.0,1.0,1.0,0.888695652173913,0.12213703089694009,1951
1.9193434317906697,0.22316096392489101,0.020840883255004883,0.009701161295486536,0.0,0.01,3,1,0.8,0.4,invariant,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'invariant'}",0.5840000000000001,0.8590153452685422,0.7289759725400459,1.0,1.0,1.0,0.8619985529680981,0.15922745786712855,2176,0.68,0.8695652173913043,0.782608695652174,1.0,1.0,1.0,0.888695652173913,0.12405661654414321,1951
1.8229042291641235,0.23977910987299805,0.02660846710205078,0.017029571979083034,0.0,0.01,3,1,0.8,0.4,cleaned_invariant,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned_invariant'}",0.6213381555153706,0.804404291360813,0.7642966751918159,1.0,1.0,1.0,0.8650065203446666,0.1459789332606308,2124,0.7,0.8260869565217391,0.8043478260869565,1.0,1.0,1.0,0.8884057971014493,0.11818482920507313,2010
1.9503308137257893,0.35382920916853744,0.015706618626912434,0.001934283852350515,0.0,0.01,3,1,0.8,0.4,cleaned_invariant+speed,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.656037296037296,0.8323881537492123,0.7289759725400459,1.0,1.0,1.0,0.8695669037210925,0.14010789922540037,1980,0.72,0.8478260869565217,0.782608695652174,1.0,1.0,1.0,0.8917391304347827,0.11437757920072678,1851
2.412071784337362,0.3950544664673834,0.020295023918151855,0.0019878099084969622,0.0,0.01,3,1,0.8,0.5,basic,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'basic'}",0.5840000000000001,0.8844905905256328,0.7642966751918159,1.0,1.0,1.0,0.8721312109529081,0.15483965777998177,1895,0.68,0.8913043478260869,0.8043478260869565,1.0,1.0,1.0,0.8959420289855072,0.12077951672951695,1590
2.5027716954549155,0.3523445536016049,0.026258428891499836,0.011372772763581207,0.0,0.01,3,1,0.8,0.5,cleaned,"{'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned'}",0.5840000000000001,0.9556482919254659,0.7642966751918159,1.0,1.0,1.0,0.8839908278528803,0.1580244512732131,1563,0.68,0.9565217391304348,0.8043478260869565,1.0,1.0,1.0,0.9068115942028986,0.12279091882485328,1116
