mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.28688502311706543,0.07921902706211532,0.005604803562164307,0.0006995144507529203,0.01,3,0.2,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.6070175438596492,1.0,0.5952380952380952,0.6793516560958421,0.7204018237983967,0.16460726767674608,13,0.68,1.0,0.7142857142857143,0.7407407407407407,0.7837566137566139,0.12669175998941187,13
0.25328540802001953,0.02065821942962878,0.005431234836578369,0.00029060767036009677,0.01,3,0.2,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.7809523809523808,0.9762623110001387,0.5952380952380952,0.6793516560958421,0.7579511108216143,0.1421638476147219,1,0.8,0.9775280898876404,0.7142857142857143,0.7407407407407407,0.8081386362285239,0.10260344984938308,1
0.2707136273384094,0.01361864973353065,0.005473077297210693,0.00034614294506052666,0.01,3,0.2,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9632315433928449,0.4608294930875576,0.5333333333333333,0.6018485924534339,0.21109024099779175,61,0.6,0.9662921348314607,0.47619047619047616,0.6666666666666666,0.6772873194221508,0.1803121263919375,61
0.2684894800186157,0.017217490769465302,0.004616141319274902,0.00017477435707484334,0.01,3,0.2,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.5952380952380952,0.5333333333333333,0.6446428571428571,0.21153911068990036,25,0.6,1.0,0.7142857142857143,0.6666666666666666,0.7452380952380953,0.1525854282858297,25
0.3269081115722656,0.0572590237725012,0.005505502223968506,0.00039051982114941694,0.01,3,0.2,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,1.0,0.5952380952380952,0.5333333333333333,0.6446428571428571,0.21153911068990036,25,0.6,1.0,0.7142857142857143,0.6666666666666666,0.7452380952380953,0.1525854282858297,25
0.31694304943084717,0.02131076523616585,0.004709184169769287,8.301031261834482e-05,0.01,3,0.2,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,1.0,0.5952380952380952,0.5333333333333333,0.6446428571428571,0.21153911068990036,25,0.6,1.0,0.7142857142857143,0.6666666666666666,0.7452380952380953,0.1525854282858297,25
0.2944328188896179,0.04401383124225611,0.005371272563934326,0.0002634077754240218,0.01,3,0.3,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.29848599433898926,0.05896833157410684,0.00546950101852417,0.0003242778579207038,0.01,3,0.3,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2969626188278198,0.05588860385244843,0.0058539509773254395,0.000659361276749889,0.01,3,0.3,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.4103847146034241,0.14001491971359684,0.0047127604484558105,0.00021570586602222679,0.01,3,0.3,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5333333333333333,0.37997920574164556,0.3281393521675262,196,0.84,0.10112359550561797,0.2857142857142857,0.5555555555555556,0.4455983591938648,0.27922617135253996,199
0.4409153461456299,0.12361805081651686,0.004918277263641357,0.0003686592861932983,0.01,3,0.3,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5802298850574713,0.39170334367268,0.3341910988640457,151,0.84,0.10112359550561797,0.2857142857142857,0.5925925925925926,0.45485761845312406,0.2833031958721202,154
0.348286509513855,0.0791218051470552,0.004963278770446777,0.00044518008110403776,0.01,3,0.3,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",1.0,0.0628083036448342,0.12698412698412698,0.6666666666666666,0.4641147743239069,0.3882345299474863,97,1.0,0.12359550561797752,0.2857142857142857,0.6666666666666666,0.5189941144997324,0.3405632771502187,103
0.2990243434906006,0.05470731191435684,0.005499124526977539,0.00035631012535846106,0.01,3,0.4,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.24880945682525635,0.017687108342403557,0.005244433879852295,0.00010756871561814655,0.01,3,0.4,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2551090121269226,0.016567227285356784,0.005184769630432129,0.00013817940539727165,0.01,3,0.4,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.26666802167892456,0.03902442578819488,0.004741489887237549,0.00021370913528977282,0.01,3,0.4,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5333333333333333,0.37997920574164556,0.3281393521675262,196,0.84,0.10112359550561797,0.2857142857142857,0.5555555555555556,0.4455983591938648,0.27922617135253996,199
