mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__degree,param_clf__gamma,param_clf__kernel,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.01006162166595459,0.0018240709281240413,0.00512164831161499,0.0005292577877823762,0.1,2,scale,rbf,1,basic,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,109,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,109
0.00810474157333374,0.0005000189953680272,0.004713296890258789,0.00014413255984973316,0.1,2,scale,rbf,1,cleaned,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,109,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,109
0.008058369159698486,0.0007362072012401297,0.004704952239990234,0.00015783985201286532,0.1,2,scale,rbf,1,cleaned+speed,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,109,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,109
0.007340192794799805,0.0004279333559725686,0.003971099853515625,0.00027230308739957315,0.1,2,scale,rbf,1,invariant,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,109,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,109
0.007239818572998047,0.0007954240001601285,0.0038985013961791992,0.00019035185415996686,0.1,2,scale,rbf,1,cleaned_invariant,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,109,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,109
0.007172286510467529,0.0007151548865863565,0.004045307636260986,0.0002273166039965674,0.1,2,scale,rbf,1,cleaned_invariant+speed,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,109,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,109
0.007493436336517334,0.0005006110728518977,0.004446089267730713,0.00023909796090805058,0.1,2,scale,poly,1,basic,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.9212615504750336,0.9634085213032579,0.7964193296592195,0.20399581055125973,11,0.6,0.898876404494382,0.9206349206349206,0.9629629629629629,0.8456185720230663,0.1436680534133315,5
0.007528066635131836,0.0007184514933239538,0.004521846771240234,0.0003127777800687769,0.1,2,scale,poly,1,cleaned,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.8510072468585864,0.9212615504750336,0.8902255639097744,0.7991900238772822,0.15496679561973148,9,0.64,0.898876404494382,0.9206349206349206,0.8888888888888888,0.8371000535045479,0.11437318974531378,11
0.007656395435333252,0.0004141594719350727,0.004501521587371826,0.0003842177123879791,0.1,2,scale,poly,1,cleaned+speed,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.7731092436974789,0.838095238095238,0.7280529321628257,0.16322574620037691,87,0.6,0.898876404494382,0.7619047619047619,0.8518518518518519,0.778158254562749,0.11402648562587687,83
0.006548166275024414,0.0005038509765780915,0.0038093924522399902,0.0003268249315503703,0.1,2,scale,poly,1,invariant,"{'clf__C': 0.1, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.9884684699478227,0.7420152863419858,0.838095238095238,0.7546447485962615,0.19659949327784573,61,0.6,0.9887640449438202,0.7301587301587301,0.8518518518518519,0.7926936567386005,0.1440353702824817,61
