mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__estimator__num_leaves,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.21891248226165771,0.0219444133116296,0.006116747856140137,0.0011287976978011627,0.01,5,31,0.2,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9785094581140663,0.9382059800664451,0.9634085213032579,0.8535974234373758,0.18492757311015665,19,0.64,0.9775280898876404,0.9365079365079365,0.9629629629629629,0.879249747339635,0.13891137184630806,1
0.21142011880874634,0.014713296859787924,0.005263388156890869,6.41404416477869e-05,0.01,5,31,0.2,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.8510072468585864,0.9382059800664451,0.8560606060606061,0.7948848918128429,0.1543984021681943,334,0.64,0.898876404494382,0.9365079365079365,0.8518518518518519,0.8318090482135427,0.1147304585134784,334
0.21080893278121948,0.01609332580760146,0.005350589752197266,8.428847065055018e-05,0.01,5,31,0.2,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9169486936510084,0.7261904761904762,0.7777777777777778,0.7177292369048156,0.16959124098188566,406,0.6,0.9325842696629213,0.7142857142857143,0.7777777777777778,0.7561619404316033,0.12013768417025222,397
0.20915919542312622,0.016440166953517694,0.0045119524002075195,0.00010049767332523923,0.01,5,31,0.2,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.5952380952380952,0.7366189719130896,0.6954642667877962,0.20293700641469073,586,0.6,1.0,0.7142857142857143,0.7407407407407407,0.7637566137566139,0.14629103389982348,388
0.2088301181793213,0.015369310176769102,0.004515171051025391,0.00011949826025507482,0.01,5,31,0.2,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.7884210526315789,0.6121212121212122,0.6753873779028444,0.15686062909900456,595,0.6,0.898876404494382,0.7777777777777778,0.7037037037037037,0.7450894714939659,0.10895260740726517,424
0.210771381855011,0.01629681171404634,0.004603028297424316,5.810630568991741e-05,0.01,5,31,0.2,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.6070175438596492,0.8510072468585864,0.7576477576477576,0.8034188034188035,0.7547728379461991,0.09147046450818377,352,0.68,0.898876404494382,0.746031746031746,0.8148148148148148,0.7849307413352358,0.08124079072930905,352
0.21390807628631592,0.011831004953617842,0.0053168535232543945,0.00016873522252215052,0.01,5,31,0.3,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.5646129016361128,0.9382059800664451,0.9634085213032579,0.7501232843178876,0.20116801233869566,370,0.64,0.48314606741573035,0.9365079365079365,0.9629629629629629,0.7556542417216574,0.20206531958274965,406
0.21223127841949463,0.013869974188477798,0.005346775054931641,9.42699042089809e-05,0.01,5,31,0.3,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.8510072468585864,0.9382059800664451,0.8560606060606061,0.7948848918128429,0.1543984021681943,334,0.64,0.898876404494382,0.9365079365079365,0.8518518518518519,0.8318090482135427,0.1147304585134784,334
0.21205496788024902,0.014060196078854057,0.0052620768547058105,0.00015172616093018915,0.01,5,31,0.3,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.12532247404217214,0.7261904761904762,0.7777777777777778,0.5198226820026065,0.25963152684006224,964,0.6,0.15730337078651685,0.7142857142857143,0.7777777777777778,0.5623417157125022,0.24237052356694958,946
0.21580761671066284,0.021589462492520934,0.005144715309143066,0.0007300324820570116,0.01,5,31,0.3,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.425709610559616,0.5952380952380952,0.7366189719130896,0.5518916694277002,0.12480676383215077,937,0.6,0.3595505617977528,0.7142857142857143,0.7407407407407407,0.603644254206052,0.15052573747614667,775
0.17995935678482056,0.022134335834965428,0.004853665828704834,0.00010655701905768172,0.01,5,31,0.3,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.7884210526315789,0.6121212121212122,0.6753873779028444,0.15686062909900456,595,0.6,0.898876404494382,0.7777777777777778,0.7037037037037037,0.7450894714939659,0.10895260740726517,424
0.16809570789337158,0.011771258420852105,0.0049332380294799805,0.0001551469861168412,0.01,5,31,0.3,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.6070175438596492,0.8510072468585864,0.7576477576477576,0.8034188034188035,0.7547728379461991,0.09147046450818377,352,0.68,0.898876404494382,0.746031746031746,0.8148148148148148,0.7849307413352358,0.08124079072930905,352
0.1894131898880005,0.026822292661167275,0.005563914775848389,0.00020469088104757238,0.01,5,31,0.4,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.6070175438596492,0.5646129016361128,0.8486024844720498,0.8917748917748917,0.7280019554356758,0.1437874064608372,397,0.68,0.48314606741573035,0.8412698412698413,0.8888888888888888,0.7233261993936151,0.15881228082452042,442
0.20679724216461182,0.020488300097847786,0.0054282546043396,0.0001944283686892892,0.01,5,31,0.4,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.7809523809523808,0.8510072468585864,0.9382059800664451,0.8560606060606061,0.8565565534845047,0.05570830398895338,1,0.8,0.898876404494382,0.9365079365079365,0.8518518518518519,0.8718090482135425,0.05116985688498239,10
0.2110360860824585,0.016222394804877412,0.005361437797546387,0.00018536001893678094,0.01,5,31,0.4,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.12532247404217214,0.7261904761904762,0.7840909090909092,0.5214009648308894,0.26120921663605234,946,0.6,0.15730337078651685,0.7142857142857143,0.7777777777777778,0.5623417157125022,0.24237052356694958,946
0.21126961708068848,0.016561358647294473,0.004650533199310303,0.0001474353750831153,0.01,5,31,0.4,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,0.425709610559616,0.6773455377574371,0.7366189719130896,0.5724185300575357,0.13645628018903083,775,0.6,0.3595505617977528,0.6666666666666666,0.7407407407407407,0.59173949230129,0.1429994658475263,784
0.21211451292037964,0.016460056146898324,0.004665493965148926,0.00011670747742246646,0.01,5,31,0.4,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.7420152863419858,0.7777777777777778,0.7052000777445875,0.1524874522477665,577,0.6,0.898876404494382,0.7301587301587301,0.7777777777777778,0.7517032281077225,0.10702553526894039,415
