mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__balance_probabilities,param_clf__n_estimators,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.8224007288614908,0.04221085484151787,44.79984903335571,0.10606782477632165,True,2,basic,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'basic'}",0.9798681318681318,0.9784333111075345,0.8140568813337691,1.0,1.0,1.0,0.9620597207182392,0.06684368433357452,47,0.98,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9604347826086957,0.07042717797559081,47
0.8790996472040812,0.08143706830185617,39.7773943344752,3.790927493979773,True,2,cleaned,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned'}",0.9594295900178252,0.9784333111075345,0.8956153863840158,1.0,1.0,1.0,0.9722463812515626,0.03738459503115945,39,0.96,0.9782608695652174,0.8913043478260869,1.0,1.0,1.0,0.9715942028985506,0.03882868085097355,43
2.2300373315811157,2.136890720042402,37.96059497197469,3.7338000713613155,True,2,cleaned+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned+speed'}",0.9173529411764706,0.9784333111075345,0.8140568813337691,1.0,1.0,1.0,0.951640522269629,0.06811591500665476,48,0.92,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9504347826086956,0.0711946841398953,48
1.70501708984375,1.6096279912025073,31.646560072898865,4.484836533127644,True,2,invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'invariant'}",0.9386160108548168,0.9784333111075345,0.9354886659234486,1.0,1.0,1.0,0.9754229979809667,0.028197677942327592,37,0.94,0.9782608695652174,0.9347826086956522,1.0,1.0,1.0,0.9755072463768116,0.028066967655732668,34
2.645738164583842,2.802245758870527,25.647700746854145,1.5694923246787,True,2,cleaned_invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned_invariant'}",0.9386160108548168,0.9784333111075345,0.9779883192731994,1.0,1.0,1.0,0.9825062735392583,0.021914407318320183,24,0.94,0.9782608695652174,0.9782608695652174,1.0,1.0,1.0,0.9827536231884059,0.021449764976785572,24
3.137856046358744,3.591779615402015,40.23578333854675,5.98170057490372,True,2,cleaned_invariant+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 2, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.9173529411764706,0.9784333111075345,0.9354886659234486,1.0,1.0,1.0,0.9718791530345756,0.03344816492720202,42,0.92,0.9782608695652174,0.9347826086956522,1.0,1.0,1.0,0.9721739130434782,0.03286373692672379,39
2.176999092102051,2.131401420954613,77.6729930639267,14.200210553678028,True,4,basic,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'basic'}",0.9386160108548168,0.9784333111075345,0.9160355306217858,1.0,1.0,1.0,0.9721808087640228,0.03326585813558758,40,0.94,0.9782608695652174,0.9130434782608695,1.0,1.0,1.0,0.9718840579710145,0.03388950006507602,41
3.6445409456888833,2.5207464327871336,80.93183966477712,9.464964151828632,True,4,cleaned,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned'}",0.9173529411764706,0.9784333111075345,0.9160355306217858,1.0,1.0,1.0,0.9686369638176319,0.03751410909793403,46,0.92,0.9782608695652174,0.9130434782608695,1.0,1.0,1.0,0.9685507246376811,0.0376379350747324,44
3.7031623125076294,1.099465751488985,83.65103467305501,6.839043632383654,True,4,cleaned+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned+speed'}",0.9386160108548168,0.9784333111075345,0.8956153863840158,1.0,1.0,1.0,0.9687774513910612,0.039328061447040985,45,0.94,0.9782608695652174,0.8913043478260869,1.0,1.0,1.0,0.9682608695652174,0.04050329243620392,45
2.844726324081421,2.9681373228603882,81.0082939863205,0.7555720821589053,True,4,invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'invariant'}",0.9386160108548168,0.9784333111075345,0.9565217391304348,1.0,1.0,1.0,0.978928510182131,0.02401190420928401,29,0.94,0.9782608695652174,0.9565217391304348,1.0,1.0,1.0,0.9791304347826086,0.023628078092687264,28
2.7203961610794067,2.0980516095134614,86.9930853843689,6.4980890101963,True,4,cleaned_invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned_invariant'}",0.9386160108548168,0.9784333111075345,0.9565217391304348,1.0,1.0,1.0,0.978928510182131,0.02401190420928401,29,0.94,0.9782608695652174,0.9565217391304348,1.0,1.0,1.0,0.9791304347826086,0.023628078092687264,28
3.190620183944702,2.2042264568568237,92.01464545726776,2.799214016455508,True,4,cleaned_invariant+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.9173529411764706,0.9784333111075345,0.9354886659234486,1.0,1.0,1.0,0.9718791530345756,0.03344816492720202,42,0.92,0.9782608695652174,0.9347826086956522,1.0,1.0,1.0,0.9721739130434782,0.03286373692672379,39
3.9226060708363852,3.0532462071279327,164.16926634311676,5.4157176068334785,True,8,basic,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'basic'}",0.9798681318681318,0.9784333111075345,0.9366031270079245,1.0,1.0,1.0,0.9824840949972652,0.022541576849042327,25,0.98,0.9782608695652174,0.9347826086956522,1.0,1.0,1.0,0.9821739130434782,0.023163482983337026,25
8.345159530639648,4.972301141494069,164.24674479166666,5.019705811288525,True,8,cleaned,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned'}",0.9386160108548168,0.9784333111075345,0.9160355306217858,1.0,1.0,1.0,0.9721808087640228,0.03326585813558758,40,0.94,0.9782608695652174,0.9130434782608695,1.0,1.0,1.0,0.9718840579710145,0.03388950006507602,41
