mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.6052096684773763,0.020007431105082917,0.048200011253356934,0.009968103164487953,,,1,0.2,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'basic'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,708,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,551
0.7413933277130127,0.059925616070149214,0.08093627293904622,0.021694186348736065,,,1,0.2,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,708,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,551
0.7475631634394327,0.12421423161496284,0.06447895367940266,0.020330313798986855,,,1,0.2,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,708,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,551
0.6054498354593912,0.07023621908911078,0.054941415786743164,0.02395399999343873,,,1,0.2,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,708,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,551
0.5402652422587076,0.10568739529762587,0.060425917307535805,0.009022761944969994,,,1,0.2,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,708,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,551
0.5162611802419027,0.02505171819080025,0.055986364682515465,0.012979428911433303,,,1,0.2,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,708,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,551
0.5852218468983968,0.06448645541605379,0.06747746467590332,0.012836294823545381,,,1,0.3,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic'}",0.4995121951219512,0.5905320366132724,0.5993395707209687,1.0,1.0,1.0,0.781563967076032,0.22075440070525404,647,0.64,0.6956521739130435,0.717391304347826,1.0,1.0,1.0,0.8421739130434783,0.15949965086588438,502
0.6099924643834432,0.08064715739389224,0.06514585018157959,0.012478268130709576,,,1,0.3,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned'}",0.5435737491877842,0.6338277919863597,0.5993395707209687,1.0,1.0,1.0,0.7961235186491855,0.20556510325369096,548,0.66,0.717391304347826,0.717391304347826,1.0,1.0,1.0,0.8491304347826087,0.15207760927847444,436
0.5902626911799113,0.07156244347481225,0.062299768129984535,0.01869245004466469,,,1,0.3,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned+speed'}",0.5435737491877842,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7809241002784116,0.21987661214513882,691,0.66,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8418840579710145,0.15905788848170582,544
0.5919180313746134,0.03327906797118795,0.05899564425150553,0.014009129982375551,,,1,0.3,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'invariant'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,708,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,551
